t1,t2,beta,n_bars,adf_p,hurst,half_life,johansen,joh_trace,mean_stability,std_stability,correlation,score,viable
BDL.NS,HAL.NS,0.8993,3506,0.0,0.3817,44.5,True,27.86,0.0865,0.0322,0.986,10,True
BEL.NS,BDL.NS,1.2114,3506,0.2912,0.4546,396.7,False,4.74,0.5102,0.0355,0.976,1,False
BEL.NS,HAL.NS,1.0837,3506,0.4591,0.4525,572.5,False,4.41,0.5335,0.0291,0.97,1,False
BEL.NS,BHEL.NS,0.7604,3506,0.8127,0.4459,2170.4,False,3.6,0.9772,0.0278,0.777,1,False
BEL.NS,BEML.NS,1.1479,3506,0.1408,0.4812,196.6,False,7.22,0.3075,0.0411,0.95,1,False
BDL.NS,BHEL.NS,0.8931,3506,0.6241,0.4718,687.4,False,6.77,0.5805,0.0354,0.815,1,False
HAL.NS,BHEL.NS,1.0325,3506,0.5862,0.4623,692.3,False,11.98,0.6163,0.0364,0.845,1,False
BDL.NS,BEML.NS,0.672,3506,0.7656,0.5463,917.1,False,3.07,0.5002,0.0383,0.941,0,False
HAL.NS,BEML.NS,0.737,3506,0.7894,0.5369,1252.3,False,3.57,0.5593,0.0372,0.958,0,False
BHEL.NS,BEML.NS,0.2582,3506,0.5747,0.496,675.8,False,3.33,0.5349,0.036,0.77,0,False
