t1,t2,beta,n_bars,adf_p,hurst,half_life,johansen,joh_trace,mean_stability,std_stability,correlation,score,viable
HAL.NS,BDL.NS,1.1058,2523,0.0001,0.3823,41.7,True,21.41,0.1092,0.0331,0.985,10,True
BEL.NS,CUMMINSIND.NS,1.2599,2523,0.0136,0.4622,81.2,True,16.99,0.201,0.0329,0.978,8,True
HAL.NS,CUMMINSIND.NS,1.3451,2523,0.0368,0.4593,92.8,True,15.68,0.2071,0.0348,0.975,7,True
BDL.NS,BEL.NS,0.9389,2523,0.0127,0.4123,64.2,False,12.9,0.1504,0.0253,0.978,6,True
HAVELLS.NS,VOLTAS.NS,1.0317,2523,0.0452,0.4216,91.3,False,12.12,0.1509,0.0214,0.936,5,True
BEL.NS,BLUESTARCO.NS,1.2112,2523,0.0222,0.469,98.7,False,15.26,0.2411,0.0394,0.959,5,True
BDL.NS,CUMMINSIND.NS,1.1955,2523,0.0107,0.4862,84.0,False,15.48,0.2136,0.0402,0.955,5,True
BDL.NS,MAZDOCK.NS,0.6314,2523,0.012,0.5317,92.9,False,15.14,0.1769,0.0517,0.979,4,False
SUPREMEIND.NS,KAYNES.NS,0.6502,2523,0.1706,0.4675,243.3,True,15.84,0.3369,0.028,0.818,4,False
COCHINSHIP.NS,KAYNES.NS,1.1115,2523,0.0084,0.5576,99.0,False,9.73,0.2127,0.0641,0.929,4,False
BDL.NS,BLUESTARCO.NS,1.1361,2523,0.019,0.5034,107.3,False,13.73,0.2728,0.0534,0.948,4,False
MAZDOCK.NS,BLUESTARCO.NS,1.7891,2523,0.0195,0.5341,110.7,False,12.89,0.3539,0.0644,0.956,4,False
HAL.NS,BLUESTARCO.NS,1.2622,2523,0.0422,0.4902,139.5,False,13.02,0.3176,0.0455,0.969,4,False
HAL.NS,COCHINSHIP.NS,1.0074,2523,0.3508,0.4959,244.5,True,17.55,0.3281,0.0439,0.97,3,False
MAZDOCK.NS,KAYNES.NS,1.6405,2523,0.1267,0.5492,203.0,True,17.24,0.3605,0.0849,0.967,3,False
HAVELLS.NS,WHIRLPOOL.NS,0.7046,2523,0.8963,0.4544,1874.7,False,8.67,0.4806,0.0249,0.263,2,False
BLUESTARCO.NS,VOLTAS.NS,1.2765,2523,0.6228,0.4134,277.4,False,4.74,0.3517,0.0273,0.857,2,False
BLUESTARCO.NS,HAVELLS.NS,1.1816,2523,0.737,0.4478,404.2,False,7.64,0.346,0.0267,0.828,2,False
CUMMINSIND.NS,VOLTAS.NS,1.0198,2523,0.752,0.4628,690.3,False,7.53,0.4854,0.0239,0.804,2,False
CUMMINSIND.NS,HAVELLS.NS,0.991,2523,0.8281,0.4464,834.1,False,12.64,0.4522,0.0217,0.793,2,False
VOLTAS.NS,WHIRLPOOL.NS,0.7408,2523,0.9606,0.4703,21976.5,False,8.51,0.4226,0.0262,0.318,2,False
HAL.NS,BEL.NS,1.0482,2523,0.1079,0.381,93.6,False,8.26,0.1621,0.0218,0.971,2,True
SUPREMEIND.NS,VOLTAS.NS,1.1198,2523,0.3065,0.4309,160.4,False,10.88,0.2758,0.026,0.855,2,False
SUPREMEIND.NS,HAVELLS.NS,1.0828,2523,0.1169,0.4341,120.2,False,9.45,0.2156,0.0247,0.92,2,True
SUPREMEIND.NS,BLUESTARCO.NS,0.8054,2523,0.0771,0.4545,120.5,False,13.95,0.2031,0.0282,0.89,2,True
SUPREMEIND.NS,CUMMINSIND.NS,0.7665,2523,0.0554,0.4772,170.9,False,12.08,0.2885,0.0262,0.88,2,False
HAL.NS,SUPREMEIND.NS,1.4258,2523,0.1223,0.4373,181.2,False,10.02,0.3934,0.035,0.91,2,False
BEL.NS,SUPREMEIND.NS,1.3507,2523,0.2436,0.4343,194.6,False,8.93,0.3488,0.0323,0.846,2,False
CUMMINSIND.NS,BLUESTARCO.NS,0.9035,2523,0.0767,0.4547,130.0,False,12.15,0.2484,0.0244,0.961,2,True
BDL.NS,COCHINSHIP.NS,0.9,2523,0.3031,0.4723,206.7,False,11.87,0.3028,0.0437,0.963,2,False
BDL.NS,SUPREMEIND.NS,1.2603,2523,0.1927,0.4716,179.4,False,8.36,0.3768,0.0431,0.864,2,False
MAZDOCK.NS,BEL.NS,1.4281,2523,0.1252,0.5211,155.8,False,8.11,0.3383,0.0509,0.973,1,False
COCHINSHIP.NS,BLUESTARCO.NS,1.1318,2523,0.1019,0.5267,191.0,False,8.24,0.3794,0.0487,0.932,1,False
VOLTAS.NS,KAYNES.NS,0.4257,2523,0.2761,0.5116,308.5,False,4.48,0.3509,0.0279,0.761,1,False
HAVELLS.NS,KAYNES.NS,0.4598,2523,0.2571,0.5139,353.3,False,9.28,0.3825,0.0242,0.719,1,False
HAL.NS,MAZDOCK.NS,0.7043,2523,0.0511,0.56,147.0,False,13.62,0.1984,0.0487,0.968,1,False
BLUESTARCO.NS,KAYNES.NS,0.8402,2523,0.0691,0.5262,163.0,False,8.91,0.2636,0.0397,0.947,1,False
BLUESTARCO.NS,WHIRLPOOL.NS,0.2653,2523,0.9648,0.4778,69314717.4,False,8.59,0.7077,0.03,-0.056,1,False
CUMMINSIND.NS,KAYNES.NS,0.8093,2523,0.3502,0.5529,297.3,False,6.97,0.2855,0.0372,0.907,1,False
BDL.NS,KAYNES.NS,1.0214,2523,0.1827,0.5451,211.8,False,8.25,0.323,0.0623,0.933,1,False
COCHINSHIP.NS,MAZDOCK.NS,0.638,2523,0.3636,0.5468,282.3,False,9.43,0.289,0.0426,0.96,1,False
SUPREMEIND.NS,WHIRLPOOL.NS,0.4877,2523,0.9442,0.4122,3964.9,False,7.5,0.5972,0.022,0.113,1,False
MAZDOCK.NS,SUPREMEIND.NS,1.9884,2523,0.2291,0.453,210.3,False,13.84,0.5326,0.0526,0.833,1,False
COCHINSHIP.NS,SUPREMEIND.NS,1.1837,2523,0.4544,0.4497,374.6,False,10.1,0.5307,0.0381,0.843,1,False
COCHINSHIP.NS,CUMMINSIND.NS,1.2076,2523,0.1903,0.5159,170.0,False,7.35,0.3142,0.0424,0.938,1,False
COCHINSHIP.NS,BEL.NS,0.9207,2523,0.4331,0.4939,261.3,False,7.94,0.3434,0.0357,0.943,1,False
BEL.NS,KAYNES.NS,1.0541,2523,0.4602,0.5409,350.7,False,4.74,0.3641,0.0407,0.93,1,False
HAL.NS,KAYNES.NS,1.1409,2523,0.2967,0.5503,302.1,False,12.35,0.3605,0.0561,0.942,1,False
MAZDOCK.NS,CUMMINSIND.NS,1.8263,2523,0.1096,0.5523,149.6,False,9.01,0.3923,0.0602,0.939,1,False
WHIRLPOOL.NS,KAYNES.NS,-0.0316,2523,0.1219,0.5632,238.3,False,9.64,0.2943,0.0394,-0.085,1,False
BEL.NS,HAVELLS.NS,1.3815,2523,0.8657,0.4696,975.5,False,8.99,0.5249,0.0318,0.772,1,False
BEL.NS,VOLTAS.NS,1.4644,2523,0.7216,0.4768,604.9,False,6.01,0.55,0.0374,0.798,1,False
COCHINSHIP.NS,HAVELLS.NS,1.0803,2523,0.846,0.558,1276.2,False,8.36,0.6982,0.0468,0.728,0,False
BDL.NS,WHIRLPOOL.NS,-0.2951,2523,0.9016,0.5215,3914.4,False,8.39,0.8677,0.0576,-0.143,0,False
BDL.NS,VOLTAS.NS,1.3016,2523,0.5465,0.5188,482.7,False,5.12,0.5853,0.0479,0.776,0,False
CUMMINSIND.NS,WHIRLPOOL.NS,-0.3914,2523,0.9629,0.5313,69314717.4,False,12.06,0.6892,0.0365,-0.164,0,False
COCHINSHIP.NS,VOLTAS.NS,1.1782,2523,0.7615,0.5442,852.2,False,4.72,0.6961,0.0497,0.76,0,False
BEL.NS,WHIRLPOOL.NS,-0.1674,2523,0.9839,0.508,69314717.4,False,10.5,0.9048,0.0346,-0.152,0,False
HAL.NS,VOLTAS.NS,1.4429,2523,0.657,0.4932,605.0,False,5.25,0.6598,0.0426,0.806,0,False
COCHINSHIP.NS,WHIRLPOOL.NS,-0.4702,2523,0.8199,0.5989,3742.2,False,8.11,0.8965,0.0628,-0.09,0,False
MAZDOCK.NS,WHIRLPOOL.NS,-0.2464,2523,0.9588,0.6101,69314717.4,False,11.69,1.3484,0.0699,-0.131,0,False
MAZDOCK.NS,VOLTAS.NS,2.0419,2523,0.7277,0.5638,680.6,False,6.22,0.8909,0.0733,0.762,0,False
HAL.NS,WHIRLPOOL.NS,-0.3326,2523,0.9369,0.5643,65650.4,False,9.42,0.9705,0.049,-0.111,0,False
MAZDOCK.NS,HAVELLS.NS,1.9915,2523,0.8003,0.5419,854.1,False,13.26,0.8181,0.0626,0.741,0,False
HAL.NS,HAVELLS.NS,1.4049,2523,0.6961,0.4878,660.9,False,9.09,0.6117,0.0378,0.812,0,False
BDL.NS,HAVELLS.NS,1.2636,2523,0.6586,0.5039,518.1,False,7.25,0.5439,0.0415,0.783,0,False
